date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2023-12-07,23502.3,1004525.0134000004,-0.0002736863020825764,-10,-1.7,29309.09422500882,0.0,17,34,846306.0134000004
2023-12-08,23835.4,1001968.0134000004,-0.002545481661372806,-10,-1.7,30390.848039443852,0.0,18,34,846306.0134000004
2023-12-11,24123.800000000003,1002322.0134000004,0.0003533046916326388,-10,-1.8,31210.04505502712,0.0,19,34,846306.0134000004
2023-12-12,23567.3,1002075.0134000004,-0.00024642779136629933,-10,-1.7,31934.538350802173,0.0,20,34,846306.0134000004
2023-12-13,23310.9,1003883.0134000004,0.0018042561443234462,-10,-1.7,31946.718343950408,0.0,21,34,846306.0134000004
2023-12-14,23092.4,1003420.0134000004,-0.0004612091188114231,-10,-1.6,31646.05614711213,142.99494601886244,22,34,846306.0134000004
2023-12-15,23137.6,1002917.0134000004,-0.0005012855965426111,-10,-1.6,31106.60515029378,547.858234914795,23,34,846306.0134000004
2023-12-18,23208.2,1002058.0134000004,-0.0008565015734331993,-10,-1.6,30659.473212345292,845.4405826805965,24,34,846306.0134000004
2023-12-19,23178.4,1002305.0134000004,0.00024649271469012746,-10,-1.6,30321.528358759766,1026.9814433807855,25,34,846306.0134000004
2023-12-20,23359.800000000003,1000984.0134000004,-0.0013179620797455494,-10,-1.6,30052.60881765559,1149.4333308480407,26,34,846306.0134000004
2023-12-21,23503.800000000003,1000224.0134000004,-0.0007592528849872382,-10,-1.6,30114.885144363463,1021.9953718416317,27,34,846306.0134000004
2023-12-22,23654.0,999096.0134000004,-0.0011277473694774054,-10,-1.6,30334.02907934761,745.2821639686239,28,34,846306.0134000004
2023-12-25,22397.4,999122.0134000004,2.6023524917873075e-05,-10,-1.4,30641.274943503282,354.2994566957292,29,34,846306.0134000004
2023-12-26,21777.8,999812.0134000004,0.0006906063431151299,-10,-1.3,29752.563193636157,1081.9877068286037,30,34,846306.0134000004
2023-12-27,19416.0,998846.0134000004,-0.0009661816291994807,-10,-0.9,28383.81285994601,2180.323087424171,31,34,846306.0134000004
2023-12-28,18176.9,998873.0134000004,2.7031193635229656e-05,-10,-0.7,25029.37514599822,4933.085373476378,32,34,846306.0134000004
2023-12-29,16560.4,996382.0134000004,-0.0024938104910062764,-10,-0.4,21019.69085798764,8079.8010854657905,33,34,846306.0134000004
