date,J-JM,OI-Y,L-MA,P-Y
2018-01-18,-0.00086947,0.0,-0.00050487,-0.00112452
2018-01-19,-0.00034097,0.0,-0.0037009,0.00152079
2018-01-22,-0.00146105,0.0,-0.00014557,0.00063106
2018-01-23,0.00097376,-1.411e-05,-0.00120492,3.942e-05
2018-01-24,-0.00010696,-0.00081383,0.00146273,-0.00059122
2018-01-25,-0.00137533,0.00029525,-0.00054208,0.00011831
2018-01-26,4.591e-05,-0.0004173,-0.00454487,0.00061122
2018-01-29,-0.00045395,0.00131353,0.00398546,8.938e-05
2018-01-30,0.00154108,6.652e-05,0.00337671,-0.0006822
2018-01-31,0.00018852,0.0,-0.00021534,-0.00017921
2018-02-01,0.00010698,0.0,0.00273493,0.0
2018-02-02,0.00028015,0.0,0.00316706,0.0
2018-02-05,-0.00170586,0.0,-0.00028384,0.0
2018-02-06,-0.00040807,0.00085428,0.00633086,0.0
2018-02-07,-0.00128593,-0.00016217,-0.00019304,0.0
2018-02-08,0.00018905,0.0,0.00047526,0.0
2018-02-09,0.00162961,0.0,0.00062843,0.0
2018-02-12,0.00023461,0.0,-0.0004055,0.0
2018-02-13,-2.04e-05,0.0,0.00056893,0.0
2018-02-14,-0.00097903,0.0,-0.00551791,0.00012143
2018-02-22,-0.00148529,0.0,0.00159097,-0.00124913
2018-02-23,-0.00107346,-0.00013287,-0.00043682,0.0
2018-02-26,-0.00210828,-0.00113822,-0.00416156,0.0
2018-02-27,0.00129738,0.00026453,0.00187006,0.0
2018-02-28,2.06e-05,-0.00050858,0.00016924,0.0
2018-03-01,-0.00188867,-0.00062332,-0.01097356,0.0
2018-03-02,0.00020011,0.0,0.00396513,0.0
2018-03-05,0.00153384,0.0,0.00434542,0.0
2018-03-06,-0.00054806,0.0,-0.00059884,0.0
2018-03-07,-0.00060986,0.00092424,0.00392475,0.0
2018-03-08,-0.00012307,-0.00151588,0.00533191,0.0
2018-03-09,0.00173347,0.00145704,0.0041212,0.00082362
2018-03-12,-0.00148985,-0.00145492,0.00898706,-0.00042411
2018-03-13,-0.00062041,-0.00381073,-0.00071295,-0.0006315
2018-03-14,0.00227797,0.00099212,-0.00483296,0.00026658
2018-03-15,0.00037702,-0.0001124,-0.00085442,-0.00099694
2018-03-16,0.0,-0.00040876,0.00101733,0.00049403
2018-03-19,-0.00232472,-0.00330212,0.00267085,-0.0003259
2018-03-20,-0.00048725,0.0005026,0.00130249,-0.00198566
2018-03-21,0.00059524,0.00151729,0.00112475,0.00040055
2018-03-22,0.00186159,-0.01008291,0.00364888,0.0
2018-03-23,-0.00156636,0.00068249,-0.00299804,0.0
2018-03-26,-0.00219429,0.00771925,0.00329995,0.0
2018-03-27,-0.00035453,-0.00010255,-0.00675335,0.0
2018-03-28,-0.00146489,0.00047176,0.00188107,0.0
2018-03-29,-0.00170382,0.0007688,-0.00324657,0.0007098
2018-03-30,-0.00058782,0.00044044,0.0018395,0.00033618
2018-04-02,0.00138785,-0.00180195,-0.00634075,-0.00086982
2018-04-03,0.00075222,-6.154e-05,-0.00069972,0.0004155
2018-04-04,-0.0004479,0.001036,0.00445765,0.00037577
2018-04-09,0.00026268,-0.00074802,0.00281785,-0.00063264
2018-04-10,0.00057671,-0.00134334,-0.00245257,0.00061326
2018-04-11,-0.00488896,-0.00087281,-0.00058889,-0.00029656
2018-04-12,0.0123083,0.00138743,-0.00669762,0.00197763
2018-04-13,0.00066924,-0.00021552,0.00225913,-0.00067107
2018-04-16,0.0021391,0.0016835,0.00509007,0.00061227
2018-04-17,-0.00015793,0.00032794,0.0010158,0.00223045
2018-04-18,0.00119736,-0.00023563,0.00178443,-0.00112259
2018-04-19,0.00014278,-0.00253102,-0.00449717,-0.0003549
2018-04-20,0.00047563,-0.00128413,0.00226612,0.0
2018-04-23,0.00130708,9.258e-05,6.376e-05,0.00011834
2018-04-24,3.556e-05,0.00136795,0.0016184,-5.916e-05
2018-04-25,0.00081774,-0.00108875,-0.00561606,-0.00037473
2018-04-26,-0.00099977,0.00087401,-0.00076814,-0.0005919
2018-04-27,-0.00030988,0.00146911,0.00076873,-0.00045406
2018-05-02,0.00139744,-0.00026672,-0.00480086,0.00100728
2018-05-03,0.00013701,-0.00153917,-0.00379984,0.00088788
2018-05-04,-0.00079659,0.00069883,0.002081,0.00112365
2018-05-07,-0.00062458,-0.00051349,-0.00139767,-0.00029537
2018-05-08,-7.113e-05,-0.00096586,0.00115643,-0.00100454
2018-05-09,-0.00046749,-0.0028078,0.00191854,-0.00122243
2018-05-10,-0.00020335,0.00034036,0.00133101,-0.0019346
2018-05-11,0.0020441,-0.00063925,0.00076098,-0.0008505
2018-05-14,0.00088803,-0.00149597,0.00218738,0.00023466
2018-05-15,0.0002028,-0.00029964,0.00301525,-0.00058237
2018-05-16,0.00071472,0.00303866,0.00193535,-0.00066192
2018-05-17,0.00114476,-0.00124682,0.00408875,0.0
2018-05-18,0.00030357,-0.00200153,-0.00148431,0.0
2018-05-21,-0.00155785,-0.00476574,-0.00156965,0.0
2018-05-22,-0.00117021,-0.00261761,0.0001959,0.0
2018-05-23,8.622e-05,0.00016663,0.00113111,0.0
2018-05-24,0.00061871,-0.00321758,0.00333081,0.0
2018-05-25,0.00027542,0.00266385,-0.00381211,0.0
2018-05-28,0.00113958,1.042e-05,0.00311225,0.0
2018-05-29,-0.0012349,-0.00064992,-0.00250744,0.0
2018-05-30,0.00022672,-0.00262035,-0.00044504,0.0
2018-05-31,0.0,0.00114981,0.00544562,0.0
2018-06-01,0.0,0.00120069,-0.00359615,0.0
2018-06-04,0.0,0.00234636,-0.00158235,0.0
2018-06-05,0.0,0.00291308,-0.00200553,0.0
2018-06-06,0.0,-0.00036308,0.00336234,0.0
2018-06-07,0.0,0.00093397,0.00352205,0.0
2018-06-08,0.0,-0.00046655,-0.00212236,0.0
2018-06-11,0.0,0.00051863,-0.00118539,0.00092645
2018-06-12,0.0,-0.00160691,0.00248104,0.00066322
2018-06-13,0.0,-0.00129798,0.0016613,0.00110793
2018-06-14,0.0,-5.199e-05,0.00160991,0.00031219
2018-06-15,0.0,-0.00016806,0.00181127,0.0
2018-06-19,0.0,-0.00412415,0.00321853,0.0
2018-06-20,0.0,-0.00102563,-0.00158477,0.00077712
2018-06-21,0.0,0.0,4.84e-06,0.00199385
2018-06-22,0.00088255,0.0,0.00337781,0.00097524
2018-06-25,0.00225246,0.0,-0.00111411,-0.00037397
2018-06-26,0.001505,0.0,-0.00549468,0.00180163
2018-06-27,-0.00016137,0.0,-0.00150021,-0.00184753
2018-06-28,-0.00102384,0.0,0.00509573,0.00189033
2018-06-29,-0.00172666,0.0,-0.0040443,0.00110061
2018-07-02,0.00224551,0.0,0.00119005,-0.00061841
2018-07-03,-0.00063581,0.0,-0.00070833,-0.00039289
2018-07-04,-0.00119669,0.0,0.00233525,-0.00169007
2018-07-05,0.00138517,0.0,0.00622897,-0.00015748
2018-07-06,0.0001464,0.0,0.00227688,-0.00119115
2018-07-09,-0.00061077,0.0,-0.00314581,-0.00187263
2018-07-10,-0.00080812,0.0,-0.00124302,0.00044435
2018-07-11,0.00032351,0.0,-0.00026532,-0.00067116
2018-07-12,-0.00174335,0.0,-0.00198315,-0.00104693
2018-07-13,0.00053657,0.0,-0.00473809,9.89e-06
2018-07-16,0.00184158,0.0,-0.00075296,0.00303529
2018-07-17,0.0001414,0.0,-0.00040836,-0.00158698
2018-07-18,1.515e-05,0.0,0.00106509,0.00013822
2018-07-19,0.00041403,0.0,0.00400807,-0.00031588
2018-07-20,-0.00126682,0.0,-0.00172264,-6.912e-05
2018-07-23,-0.00219322,0.0,-0.00096945,0.00485855
2018-07-24,-0.00021778,0.0,0.0003833,0.00076653
2018-07-25,0.00017223,0.0,-0.0032156,-0.00039279
2018-07-26,0.00018233,0.0,-0.00026275,-0.00176826
2018-07-27,-0.00431447,0.0,0.00147957,0.00117109
2018-07-30,-0.00252259,0.0,0.00226467,-0.01201175
2018-07-31,0.00046398,0.00225912,-0.00051398,-0.00082577
2018-08-01,-0.00275714,-0.0005945,0.00184835,0.00162304
2018-08-02,-0.00198286,0.00067834,0.00148661,0.00144147
2018-08-03,-0.00326695,-0.00196065,0.00484001,-0.00057576
